IDENTIFICADOR_DEL_REGISTRO,INCUMPLIMIENTO,CLASIFICACION_RESULTADO_PRODUCTO
163,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
164,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
165,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
166,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
167,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
168,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
169,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
170,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
171,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
172,Carece de la lista de ingredientes,VISITA CON INFRACCION  PRODUCTO EMPLAZADO
173,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
174,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
175,Carece de nombre y domicilio fiscal del fabricante o importador,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
176,Carece del nombre o denominacion generica del producto,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
177,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
178,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
179,Carece de toda informacion comercial  en el producto,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
180,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
181,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
182,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
183,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
184,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
185,Carece de toda informacion comercial  en el producto,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
186,Ostenta el Pais de Origen en Idioma Distinto al EspaÂ¤ol,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
187,No indica veracidad de la informaciÂ¢n comercial,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
188,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
189,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
190,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
191,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
192,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
193,Ostenta la informaciÂ¢n comercial en idioma distinto al EspaÂ¤ol,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
194,La informaciÂ¢n  nutrimental  se encuentra en otro idioma distinto al espaÂ¤ol,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
195,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
196,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
197,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
198,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
199,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
200,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
201,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
202,Carece de fecha de caducidad,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
203,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
204,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
205,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
206,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
207,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
208,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
209,Induce a error o confusion al consumidor con respecto a la naturaleza y caracteristicas del producto,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
210,La informaciÂ¢n  nutrimental  se encuentra en otro idioma distinto al espaÂ¤ol,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
211,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
212,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
213,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
214,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
215,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
216,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
217,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
218,Carece de leyenda : No etiquetado para su venta Individual,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
219,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
220,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
221,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
222,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
223,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
224,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
225,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
226,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
227,Carece de veracidad en informaciÂ¢n,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
