RAZON_SOCIAL_VISITADA,GIRO_COMERCIAL,MUNICIPIO,ENTIDAD,ID_RAZON_SOCIAL_VISITADA
MARIO RAMOS,JOYERIA,SAN PEDRO GARZA GARCIA,NUEVO LEON,7120
MARIO ROCHIN SANCHEZ Y/O ABARROTES BUGAMBILIA,ABARROTES,PAZ  LA,BAJA CALIFORNIA SUR,7121
MARIO TRUJILLO Y/O ZAPATERIA LEON GUANAJUATO,ZAPATERIA,CAMPECHE,CAMPECHE,7122
MARISCOS EL CHATO,PESCADOS Y MARISCOS,URUAPAN,MICHOACAN DE OCAMPO,7123
MARISCOS EL MELON-JORGE ALBERTO RODRIGUEZ GOMEZ,PESCADOS Y MARISCOS,AGUASCALIENTES,AGUASCALIENTES,7124
MARISCOS ISLA MUJERES   MAR Y CHELA,OSTIONERIA Y MARISQUERIA,HUEHUETOCA,MEXICO,7125
MARISCOS JORGE 6,PESCADOS Y MARISCOS,SOLEDAD DE GRACIANO SANCHEZ,SAN LUIS POTOSI,7126
MARISCOS LA VIA II,OSTIONERIA Y MARISQUERIA,APIZACO,TLAXCALA,7127
MARISCOS LENCHO,PESCADOS Y MARISCOS,SAN LUIS POTOSI,SAN LUIS POTOSI,7128
MARISCOS LOS CEVICHEZ,PESCADOS Y MARISCOS,SAN LUIS POTOSI,SAN LUIS POTOSI,7129
MARISCOS PUERTO MARQUES Y/O OROZCO MORALES JUAN CARLOS,OSTIONERIA Y MARISQUERIA,TOLUCA,MEXICO,7130
MARISQUERIA  LA FLOR DE TUXPAN,OSTIONERIA Y MARISQUERIA,TLALNEPANTLA DE BAZ,MEXICO,7131
MARISQUERIA  LA MARTINA,PESCADOS Y MARISCOS,ATIZAPAN DE ZARAGOZA,MEXICO,7132
"MARISQUERIA ""EL CAMARON GUASAVEÃO"" Y/O HUMBERTO MENDOZA CRUZ",OSTIONERIA Y MARISQUERIA,APETATITLAN DE ANTONIO CARVAJAL,TLAXCALA,7133
"MARISQUERIA ""EL PULPO LOCO""",OSTIONERIA Y MARISQUERIA,APETATITLAN DE ANTONIO CARVAJAL,TLAXCALA,7134
"MARISQUERIA ""EL ROLLO""",OSTIONERIA Y MARISQUERIA,APIZACO,TLAXCALA,7135
"MARISQUERIA ""MAYELA""",OSTIONERIA Y MARISQUERIA,TLAXCALA,TLAXCALA,7136
MARISQUERIA CAMARONEANDO Y/O SOLUCIONES EMPRESARIALES RODACA S A DE C.V.,RESTAURANTE,ATIZAPAN DE ZARAGOZA,MEXICO,7137
MARISQUERIA CARIBE,RESTAURANTE,TLALNEPANTLA DE BAZ,MEXICO,7138
MARISQUERIA DON BETO,PESCADOS Y MARISCOS,TULTEPEC,MEXICO,7139
MARISQUERIA DON ROQUE,OSTIONERIA Y MARISQUERIA,TLALNEPANTLA DE BAZ,MEXICO,7140
MARISQUERIA EL GUSTO JAROCHO,OSTIONERIA Y MARISQUERIA,TLALNEPANTLA DE BAZ,MEXICO,7141
MARISQUERIA LA TABASQUEÃA,OSTIONERIA Y MARISQUERIA,TLAXCALA,TLAXCALA,7142
MARISQUERIA LAS REDES,OSTIONERIA Y MARISQUERIA,TLALNEPANTLA DE BAZ,MEXICO,7143
MARISQUERIA LOS CUÃADOS JAROCHOS,OSTIONERIA Y MARISQUERIA,TLALNEPANTLA DE BAZ,MEXICO,7144
MARISQUERIA MONSERRAT,OSTIONERIA Y MARISQUERIA,SAN PEDRO MIXTEPEC-JUQUILA,OAXACA,7145
MARISQUERIA PESCADITO CAMARON  Y/O DIANA GISELL TELLO SANDOVAL,OSTIONERIA Y MARISQUERIA,TEOLOYUCAN,MEXICO,7146
MARISQUERIA PUNTA MARINA Y/O OPERADORA BUCUNA S.A DE C.V.,PESCADOS Y MARISCOS,ATIZAPAN DE ZARAGOZA,MEXICO,7147
MARISQUERIA SOLO VERACRUZ ES BELLO Y/O BOGOVANTE S.A DE C.V.,OSTIONERIA Y MARISQUERIA,TLALNEPANTLA DE BAZ,MEXICO,7148
"MARISQUERIA Y RESTAURANT ""EL DELFIN""",OSTIONERIA Y MARISQUERIA,TLAXCALA,TLAXCALA,7149
MARISQUERIAS LA RED,RESTAURANT-BAR,OAXACA DE JUAREZ,OAXACA,7150
MARKE  S.A. DE C.V.,PRODUCTOS ELECTRICOS,CUAUHTEMOC,DISTRITO FEDERAL,7151
MARKE  S.A. DE C.V.,TIENDA DEPARTAMENTAL,MIGUEL HIDALGO,DISTRITO FEDERAL,7152
MARKE  S.A. DE C.V.,TELEMERCADEO,TLALPAN,DISTRITO FEDERAL,7153
MARKE  S.A. DE C.V.,ARTICULOS PARA EL HOGAR,TLALPAN,DISTRITO FEDERAL,7153
MARLEGU  S.A DE C.V,BOUTIQUE,BOCA DEL RIO,VERACRUZ,7154
MARPA DE PACHUCA  S.A. DE C.V.,DISTRIBUIDORA DE LLANTAS,PACHUCA DE SOTO,HIDALGO,7155
MARQUEZ ANGELES EVANGELINA,FERRETERIA,BENITO JUAREZ,DISTRITO FEDERAL,7156
MARRING WEDDING RINGS,JOYERIA,SAN PEDRO GARZA GARCIA,NUEVO LEON,7157
MARRIOT HOTEL  SPA & CONVENTION CENTER,HOTEL,IXTAPAN DE LA SAL,MEXICO,7158
MARTHA ALICIA TORRES REYES,TEXTILES,LEON,GUANAJUATO,7159
MARTHA COTA COTA Y/O MISCELANEA LA MISION,ABARROTES,PAZ  LA,BAJA CALIFORNIA SUR,7160
MARTI OUTLET Y/O DEPORTES MARTI S.A DE C.V.,ROPA DEPORTIVA,HUEHUETOCA,MEXICO,7161
MARTI Y/O DEPORTES MARTI S.A. DE C.V.,ARTICULOS DEPORTIVOS,CAMPECHE,CAMPECHE,7162
MARTIN ARAGON MONTAÃO Y/O TIENDA COMUNITARIA DICONSA,ABARROTES,PAZ  LA,BAJA CALIFORNIA SUR,7163
MARTINEZ GARCIA VICENTE Y/O LA CENTRAL II,DISTRIBUIDORA DE LLANTAS,IZTAPALAPA,DISTRITO FEDERAL,7164
MARTINEZ ROBLES MARTHA PATRICIA (MISCELANEA),ABARROTES,QUERETARO,QUERETARO,7165
MARTZ REFACCIONES  S.A. DE C.V.,REFACCIONARIA AUTOMOTRIZ,VERACRUZ,VERACRUZ,7166
MARTÃ NIKE  Y/O DEPORTES MARTI  S.A DE C.V.,ARTICULOS DEPORTIVOS,NAUCALPAN DE JUAREZ,MEXICO,7167
MARUICHI  S.A. DE C.V. Y/O FERRETERIA SERIGUCHI,ARTICULOS DE FERRETERIA,COYOACAN,DISTRITO FEDERAL,7168
MARVAL TELECOMUNICACIONES,TELECOMUNICACIONES,GENERAL ESCOBEDO,NUEVO LEON,7169
MARYSOL HERNANDEZ LARREA (PITICO BUSTAMANTE),BEBIDAS ALCOHOLICAS,OAXACA DE JUAREZ,OAXACA,7170
MAS ALTO MASSIMO RANDO,SIN GIRO ESPECIFICO,SAN PEDRO GARZA GARCIA,NUEVO LEON,7171
MAS BODEGA Y LOGISTICA  S.A. DE C.V.,ABARROTERA,PAZ  LA,BAJA CALIFORNIA SUR,7172
MAS CELULAR,TELEFONIA CELULAR,COLIMA,COLIMA,7173
MAS DEPOT,SIN GIRO ESPECIFICO,SANTA CATARINA,NUEVO LEON,7174
MAS PARTES SEPULVEDA,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,7175
MASCARA DE LATEX MTY PLAZA SEBASTIAN,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,7176
MASCOTAS CLINICA VETERINARIA,VETERINARIA,ZAPOPAN,JALISCO,7177
MASI Y/O MULTISERVICIOS Y ARTICULOS DE SEGURIDAD INDUSTRIAL,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,7178
MASKLIM Y/O MIGUEL TLAPA GARCIA,ARTICULOS DE PLASTICO,OTHON P. BLANCO,QUINTANA ROO,7179
MASKOTA  S.A DE C.V.,VETERINARIA,MIGUEL HIDALGO,DISTRITO FEDERAL,7180
MASKOTA  S.A. DE C.V.,ACCESORIOS PARA MASCOTA,CHIMALHUACAN,MEXICO,7181
MASKOTA  S.A. DE C.V.,ACCESORIOS PARA MASCOTA,GUADALAJARA,JALISCO,7182
MASKOTA  S.A. DE C.V.,ACCESORIOS PARA MASCOTA,NEZAHUALCOYOTL,MEXICO,7183
MASKOTA  S.A. DE C.V.,ACCESORIOS PARA MASCOTA,TEXCOCO,MEXICO,7184
MASKOTA S.A DE C.V.,ALIMENTOS PARA ANIMALES,ATIZAPAN DE ZARAGOZA,MEXICO,7185
MASKOTA S.A DE C.V.,ACCESORIOS PARA MASCOTA,ECATEPEC DE MORELOS,MEXICO,7186
MASKOTA S.A. DE C.V.,VETERINARIA,ALVARO OBREGON,DISTRITO FEDERAL,7187
MASKOTA S.A. DE C.V.,ACCESORIOS PARA MASCOTA,ATIZAPAN DE ZARAGOZA,MEXICO,7188
MASKOTA S.A. DE C.V.,ACCESORIOS PARA MASCOTA,COACALCO DE BERRIOZABAL,MEXICO,7189
MASKOTA S.A. DE C.V.,ACCESORIOS PARA MASCOTA,CUAUTITLAN IZCALLI,MEXICO,7190
MASKOTA S.A. DE C.V.,ACCESORIOS PARA MASCOTA,MIGUEL HIDALGO,DISTRITO FEDERAL,7191
MASKOTA S.A. DE C.V.,ACCESORIOS PARA MASCOTA,TLALNEPANTLA DE BAZ,MEXICO,7192
MASSIMO  DUTTI,BOUTIQUE,QUERETARO,QUERETARO,7193
MASSIMO DUTTI  MEXICO S.A. DE C.V.   Y/O  MASSIMO DUTTI,ROPA PARA DAMA,CUERNAVACA,MORELOS,7194
MASSIMO DUTTI MEXICO S.A. DE C.V.,PRENDAS DE VESTIR,MIGUEL HIDALGO,DISTRITO FEDERAL,7195
MASSIMO DUTTI MÂ¿XICO  S.A DE C.V.,ROPA PARA DAMA,NAUCALPAN DE JUAREZ,MEXICO,7196
MATADOR LA CUESTA,TIENDAS DE CONVENIENCIA,QUERETARO,QUERETARO,7197
MATCH POINT SPORT  S.A. DE C.V.,ZAPATERIA,NEZAHUALCOYOTL,MEXICO,7198
MATCH POINT SPORT  S.A.DE C.V.,ZAPATERIA,PAZ  LA,MEXICO,7199
MATERIA PRIMAS EL GLOBO Y/O MARIA ISABEL SANTAMARIA NARANJO,MATERIAS PRIMAS,TULTITLAN,MEXICO,7200
MATERIAL ELECTRICO LLANAS  S.A DE C.V,PRODUCTOS ELECTRICOS,MONTERREY,NUEVO LEON,7201
MATERIALES AZURAMA,MATERIALES PARA CONSTRUCCION,TENOSIQUE,TABASCO,7202
MATERIALES CHUCHIN,MATERIALES PARA CONSTRUCCION,VILLAHERMOSA,TABASCO,7203
MATERIALES EL NUEVO CENTENARIO S.A. DE C.V.,FERRETERIA,AZCAPOTZALCO,DISTRITO FEDERAL,7204
MATERIALES ELECTRICOS NECAXA  S.A. DE C.V.,PRODUCTOS ELECTRICOS,COYOACAN,DISTRITO FEDERAL,7205
MATERIALES LA MEJOR,MATERIALES PARA CONSTRUCCION,APODACA,NUEVO LEON,7206
"MATERIALES PARA CONSTRUCCION "" INDECO """,MATERIALES PARA CONSTRUCCION,VILLAHERMOSA,TABASCO,7207
MATERIALES PARA CONSTRUCCION LA FORTALEZA,MATERIALES PARA CONSTRUCCION,VILLAHERMOSA,TABASCO,7208
MATERIALES PARA LA CONSTRUCCION TLAPALERIA Y PLOMERIA CONTRERAS,MATERIALES PARA CONSTRUCCION,IZTACALCO,DISTRITO FEDERAL,7209
MATERIALES SANTA ANA,MATERIALES PARA CONSTRUCCION,QUERETARO,QUERETARO,7210
MATERIALES Y ELECTRICOS EMSA  S.A. DE C.V.,FERRETERIA,GUSTAVO A. MADERO,DISTRITO FEDERAL,7211
MATERIALES Y FERRETERIA PUEBLO NUEVO,SIN GIRO ESPECIFICO,APODACA,NUEVO LEON,7212
MATERIALES Y PRODUCTOS DE CALIDAD PASCUA,PRENDAS DE VESTIR,CUAUHTEMOC,DISTRITO FEDERAL,7213
"MATERIAS PRIMAS ""ALE"" EDIVAR",MATERIAS PRIMAS,ECATEPEC DE MORELOS,MEXICO,7214
MATERIAS PRIMAS ASIS,MATERIAS PRIMAS,SAN NICOLAS DE LOS GARZA,NUEVO LEON,7215
MATERIAS PRIMAS CANDY MANIAX,MATERIAS PRIMAS,TLALNEPANTLA DE BAZ,MEXICO,7216
MATERIAS PRIMAS CASA HINOJOSA,MATERIAS PRIMAS,ATIZAPAN DE ZARAGOZA,MEXICO,7217
MATERIAS PRIMAS CASA TAPIA,MATERIAS PRIMAS,IZTAPALAPA,DISTRITO FEDERAL,7218
MATERIAS PRIMAS CHRISVALY Y/O NORBERTO ERIK ALBA CALDERON,MATERIAS PRIMAS,IZTAPALAPA,DISTRITO FEDERAL,7219
MATERIAS PRIMAS DEL CENTRO,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,7220
MATERIAS PRIMAS EL TEO,MATERIAS PRIMAS,ATIZAPAN DE ZARAGOZA,MEXICO,7221
MATERIAS PRIMAS FANTASIA,MATERIAS PRIMAS,TLALNEPANTLA DE BAZ,MEXICO,7222
MATERIAS PRIMAS LA CENTRAL,DULCERIA,ZUMPANGO,MEXICO,7223
MATERIAS PRIMAS LOS TOKIS,MATERIAS PRIMAS,ATIZAPAN DE ZARAGOZA,MEXICO,7224
MATERIAS PRIMAS LUNA,MATERIAS PRIMAS,NEZAHUALCOYOTL,MEXICO,7225
MATERIAS PRIMAS LUZ ANGEL Y/O JOSE ANGEL BELTRAN ROSA,MATERIAS PRIMAS,ATIZAPAN DE ZARAGOZA,MEXICO,7226
MATERIAS PRIMAS MR,MATERIAS PRIMAS,TULTITLAN,MEXICO,7227
MATERIAS PRIMAS PANY PAS S.A. DE C.V.,MATERIAS PRIMAS,MONTERREY,NUEVO LEON,7228
MATERIAS PRIMAS ROMO,MATERIAS PRIMAS,MONTERREY,NUEVO LEON,7229
MATERIAS PRIMAS S/N Y/O JESUS MENDOZA MAYA,MATERIAS PRIMAS,ALVARO OBREGON,DISTRITO FEDERAL,7230
MATERIAS PRIMAS SIN NOMBRE Y/O MARCELINO MARQUEZ VAZQUEZ,MATERIAS PRIMAS,BENITO JUAREZ,DISTRITO FEDERAL,7231
MATERIAS PRIMAS Y ABARROTES PIM POLLO  Y/OPATRICIA BALBOA GUERRERO,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,7232
MATERIAS PRIMAS Y DESECHABLES KANO Y/O CARLOS SILVA CADAÃO,MATERIAS PRIMAS,COYOACAN,DISTRITO FEDERAL,7233
MATERIAS PRIMAS Y DULCERIA MADISON Y/O MARIA VIRGINIA FLORES FLORES,DULCERIA,ECATEPEC DE MORELOS,MEXICO,7234
MATERIAS PRIMAS Y DULCERIA S/N,DULCERIA,TLALNEPANTLA DE BAZ,MEXICO,7235
MATERIAS PRIMAS Y DULCERIA SURTIEXPRESS,MATERIAS PRIMAS,NEZAHUALCOYOTL,MEXICO,7236
MATERIAS PRIMAS Y/O CARLOS CABALLERO ALBARRAN,MATERIAS PRIMAS,ALVARO OBREGON,DISTRITO FEDERAL,7237
MATERNIDAD Y EXTRAS,BOUTIQUE,MEXICALI,BAJA CALIFORNIA,7238
MATIENZO MEXICO  S.A. DE C.V.,PRENDAS DE VESTIR,ALVARO OBREGON,DISTRITO FEDERAL,7239
MATLAZIHUA,MEZCAL,OAXACA DE JUAREZ,OAXACA,7240
MATYZES,SIN GIRO ESPECIFICO,GUADALUPE,NUEVO LEON,7241
MAURICIO SANCHEZ GOMEZ,ZAPATERIA,LEON,GUANAJUATO,7242
MAURIS,OSTIONERIA Y MARISQUERIA,TLAXCALA,TLAXCALA,7243
MAURO LEDEZMA CALLEJAS LOC. 4,ABARROTES,GUSTAVO A. MADERO,DISTRITO FEDERAL,7244
MAX,JOYERIA,SAN PEDRO GARZA GARCIA,NUEVO LEON,7245
MAX JOYERIA,JOYERIA,MONTERREY,NUEVO LEON,7246
MAX SPORTS,ARTICULOS DEPORTIVOS,VALLE DE CHALCO SOLIDARIDAD,MEXICO,7247
MAXI CLEAN  S.ADE C.V,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,7248
MAXI SUPER,TIENDAS DE CONVENIENCIA,QUERETARO,QUERETARO,7249
MAXI SUPER 24 Y/O ROGELIO NAJERA ESPINOZA,MINI SUPER,VENUSTIANO CARRANZA,DISTRITO FEDERAL,7250
MAXIGLOBOS,REGALOS,APIZACO,TLAXCALA,7251
MAXIMA,ROPA PARA CABALLERO,GUADALAJARA,JALISCO,7252
MAXIMA,PRENDAS DE VESTIR,TUXTLA GUTIERREZ,CHIAPAS,7253
MAXIMA DISTINCION  S.A. DE C.V.,JOYERIA,BENITO JUAREZ,DISTRITO FEDERAL,7254
MAXIMA DISTINCION S.A DE C.V,JOYERIA,LEON,GUANAJUATO,7255
MAXIVA  S.A. DE C.V.,PRODUCTOS NATURISTAS,COYOACAN,DISTRITO FEDERAL,7256
MAXXA,SIN GIRO ESPECIFICO,SAN PEDRO GARZA GARCIA,NUEVO LEON,7257
MAYDI,SIN GIRO ESPECIFICO,GUADALUPE,NUEVO LEON,7258
MAYORAMA S.A. DE C.V.,ABARROTES,SALTILLO,COAHUILA DE ZARAGOZA,7259
MAYORAMA SA DE CV,ABARROTES,SALTILLO,COAHUILA DE ZARAGOZA,7260
MAYOREO 1949 SA DE CV Y/O MAS ABASTO,SIN GIRO ESPECIFICO,SAN NICOLAS DE LOS GARZA,NUEVO LEON,7261
MAYOREO 2000  Y/O MARIA DEL SOCORRO HERNANDEZ IZQUIERDO,PRENDAS DE VESTIR,MONTERREY,NUEVO LEON,7262
MAYOREO DE ABARROTES ZUMPANGO S.A. DE C.V.,ABARROTES,ZUMPANGO,MEXICO,7263
MAYOREO DE COLCHAS Y BLANCOS  S.A. DE C.V.,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,7264
MAYOREO DE LAMPARAS E ILUMINACION  S.A. DE C.V.,MATERIAL ELECTRICO,MONTERREY,NUEVO LEON,7265
MAYOREO DE SEGURIDAD,SIN GIRO ESPECIFICO,APODACA,NUEVO LEON,7266
MAYOREO DEL BEBE,PRENDAS DE VESTIR,MONTERREY,NUEVO LEON,7267
MAYOREO ELECTRONICO PENINSULAR  S.A. DE C.V.,MUEBLERIA,SOLIDARIDAD,QUINTANA ROO,7268
MAYOREO GARAY,ABARROTES,JUAREZ,CHIHUAHUA,7269
MAYOREO LOPEZ DIAZ  S.A. DE C.V.,REFACCIONARIA AUTOMOTRIZ,AZCAPOTZALCO,DISTRITO FEDERAL,7270
MAYOREO SANCHEZ S.A.,ZAPATERIA,LEON,GUANAJUATO,7271
MAYOREO Y MENUDEO Y/O CECILIA VALDEZ JUAREZ,PRODUCTOS ELECTRICOS,CUAUHTEMOC,DISTRITO FEDERAL,7272
MAYOREO Y MENUDEO Y/O YONG SHENG ZHENG,BISUTERIA,CUAUHTEMOC,DISTRITO FEDERAL,7273
MAYOREO Y MENUDEO ZAPATERIA,ZAPATERIA,TAPACHULA,CHIAPAS,7274
MAYORISTA DE DULCES TLALNEPANTLA S.A. DE C.V.,DULCERIA,TLALNEPANTLA DE BAZ,MEXICO,7275
MAYORISTA SAN LUIS  S.A. DE C.V.,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,7276
MAYORISTAS DE DULCES DE IZTAPALAPA  S.A. DE C.V.,DULCES Y CHOCOLATES,IZTAPALAPA,DISTRITO FEDERAL,7277
MAYORISTAS DE DULCES ECATEPEC S.A DE C.V.,CENTRALES DE ABASTO,ECATEPEC DE MORELOS,MEXICO,7278
MAZZ,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,7279
MB MAYOREO DE BOTAS,ZAPATERIA,GENERAL ESCOBEDO,NUEVO LEON,7280
MC COSTURA  S.A. DE C.V.,TEXTILES,CUAUHTEMOC,DISTRITO FEDERAL,7281
MC DONALDÃ¯S Y/O ARCOS SERCAL INMOBILIARIA S. DE R.L. DE C.V.,COMIDA RAPIDA CADENAS,ATIZAPAN DE ZARAGOZA,MEXICO,7282
MC. DONALD'S,COMIDA RAPIDA CADENAS,QUERETARO,QUERETARO,7283
MCDONALD'S Y/O MDC INMOVILIARIA DE MEXICO  S. DE R.L. DE C.V.,RESTAURANTE,ACAPULCO DE JUAREZ,GUERRERO,7284
MCT MISTERIOS Y/O ALBERTO LUIS CALDERON MARTINEZ,FERRETERIA,GUSTAVO A. MADERO,DISTRITO FEDERAL,7285
MEDHOME  S.A DE C.V  Y/O DAONSA MEDHOME,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,7286
MEDICINAS MEXICALI  S.A. DE C.V. (PEY-PHARMA),FARMACIA,MEXICALI,BAJA CALIFORNIA,7287
MEGA AUDIO  S.A DE C.V.  Y/O  SONY,PRODUCTOS ELECTRONICOS,GUSTAVO A. MADERO,DISTRITO FEDERAL,7288
MEGA AUDIO  S.A. DE C.V.,PRODUCTOS ELECTRONICOS,IZTAPALAPA,DISTRITO FEDERAL,7289
MEGA BASTO Y/O ABASTECEDORA CAMY S. DE R.L. DE C.V.,CREMERIA,TULTITLAN,MEXICO,7290
MEGA COMERCIAL MEXICANA,ABARROTES,HERMOSILLO,SONORA,7291
MEGA COMERCIAL MEXICANA Y/O TIENDAS COMERCIAL MEXICANA  S. A. DE C. V.,TIENDA DE AUTOSERVICIO,COACALCO DE BERRIOZABAL,MEXICO,7292
MEGA DULCES,DULCES Y CHOCOLATES,TIJUANA,BAJA CALIFORNIA,7293
MEGA FIRE,SIN GIRO ESPECIFICO,SANTA CATARINA,NUEVO LEON,7294
MEGA FOODS,CARNICERIA,APODACA,NUEVO LEON,7295
MEGA OFERTAS,PRENDAS DE VESTIR,CHIHUAHUA,CHIHUAHUA,7296
MEGA SANFRI  S.A. DE C.V.,ARTICULOS DE IMPORTACION,CULIACAN,SINALOA,7297
MEGA SHOES,ZAPATERIA,AZCAPOTZALCO,DISTRITO FEDERAL,7298
MEGABASTO Y/O GUADALUPE ALEJANDRA CORTES SALINAS,CREMERIA,TULTITLAN,MEXICO,7299
MEGAFIRE,SIN GIRO ESPECIFICO,GUADALUPE,NUEVO LEON,7300
MEGAFIRE,SIN GIRO ESPECIFICO,MONTERREY,NUEVO LEON,7301
MEICESS BOUTIQUE,BOUTIQUE,VILLA DE ALVAREZ,COLIMA,7302
MEIKUANG INTERNACIONAL S.A. DE C.V.,ARTICULOS ESCOLARES,CUAUHTEMOC,DISTRITO FEDERAL,7303
MEINARDO AUTOSERVICIO,MATERIAS PRIMAS,COLIMA,COLIMA,7304
MEINARDO FOODSERVICE,MATERIAS PRIMAS,COLIMA,COLIMA,7305
MEINEKE CAR CARE CENTER,TALLER MECANICO,PACHUCA DE SOTO,HIDALGO,7306
MEJARRÃ¯S Y/O MARIA FLORA GERALDO HIRALES,PRENDAS DE VESTIR,PAZ  LA,BAJA CALIFORNIA SUR,7307
MEL-MART Y/O SARAI HERNANDEZ GONZALEZ,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,7308
MELINA JEANS,BOUTIQUE,APODACA,NUEVO LEON,7309
MELODY  Y/O MILANO OPERADORA  S.A. DE C.V.,BOUTIQUE,REYNOSA,TAMAULIPAS,7310
MELODY  Y/O POR DISITINCION  S.A. DE C.V.,PRENDAS DE VESTIR,TUXTLA GUTIERREZ,CHIAPAS,7311
MELODY Y/O MILANO SERVICIOS CORPORATIVOS  S.A DE C.V,PRENDAS DE VESTIR,COZUMEL,QUINTANA ROO,7312
MEN S FACTORY,PRENDAS DE VESTIR,CHIHUAHUA,CHIHUAHUA,7313
MENS FACTORY,BOUTIQUE,PACHUCA DE SOTO,HIDALGO,7314
MENS FACTORY,BOUTIQUE,SAN LUIS POTOSI,SAN LUIS POTOSI,7315
MENÃ¯S FACTORY Y/O HIGH LIFE S.A. DE C.V.,ROPA PARA DAMA,NAUCALPAN DE JUAREZ,MEXICO,7316
MERAG Y/O GRUPO MERAG S.A. D EC.V.,JOYERIA,MIGUEL HIDALGO,DISTRITO FEDERAL,7317
MERCADITO ECONOMICO,MINI SUPER,CAJEME,SONORA,7318
MERCADITO IMPERIAL,ABARROTES,MEXICALI,BAJA CALIFORNIA,7319
MERCADO  Y CARNICERIA REFORMA,ABARROTES,TIJUANA,BAJA CALIFORNIA,7320
MERCADO 5 HERMANOS S.A. DE C.V.,MERCADO,TIJUANA,BAJA CALIFORNIA,7321
MERCADO ALFER,ABARROTES,ENSENADA,BAJA CALIFORNIA,7322
MERCADO BENYS Y/O RODRIGUEZ VALENCIA BENITO,MERCADO,TIJUANA,BAJA CALIFORNIA,7323
MERCADO BRISMA  S.A.,MERCADO,TIJUANA,BAJA CALIFORNIA,7324
MERCADO CASABLANCA,MERCADO,TIJUANA,BAJA CALIFORNIA,7325
MERCADO DE CARNES DE VERACRUZ  S.A. DE C.V.,ABARROTES,VERACRUZ,VERACRUZ,7326
MERCADO DE IMPORTACIONES,TIENDAS DE CONVENIENCIA,NAVOJOA,SONORA,7327
MERCADO DE PISOS Y AZULEJOS DE CHALCO  S.A. DE C.V.,INSUMOS PARA LA CONSTRUCCION,CHALCO,MEXICO,7328
MERCADO DE REFACCIONES DE MEXICO  S.A. DE C.V. Y/O MR-24,REFACCIONARIA AUTOMOTRIZ,PAZ  LA,BAJA CALIFORNIA SUR,7329
MERCADO DIAZ,MERCADO,TIJUANA,BAJA CALIFORNIA,7330
MERCADO EL AGUAJE,ABARROTES,TECATE,BAJA CALIFORNIA,7331
MERCADO EL AHORRO,ABARROTES,ROSARITO,BAJA CALIFORNIA,7332
MERCADO EL AVENTURERO,ABARROTES,TIJUANA,BAJA CALIFORNIA,7333
MERCADO EL ROBLE,ABARROTES,MEXICALI,BAJA CALIFORNIA,7334
MERCADO EMILIA # 1,MERCADO,TIJUANA,BAJA CALIFORNIA,7335
MERCADO GARZAS,MERCADO,TIJUANA,BAJA CALIFORNIA,7336
MERCADO HECTORS,MERCADO,TIJUANA,BAJA CALIFORNIA,7337
MERCADO LA ESMERALDA,ABARROTES,TIJUANA,BAJA CALIFORNIA,7338
MERCADO LA VILLITA Y/O SILVIA GONZALEZ,ABARROTES,TIJUANA,BAJA CALIFORNIA,7339
MERCADO LAS GRANJAS,ABARROTES,TIJUANA,BAJA CALIFORNIA,7340
MERCADO MINERVA II,MERCADO,ENSENADA,BAJA CALIFORNIA,7341
MERCADO MONTES,ABARROTES,TIJUANA,BAJA CALIFORNIA,7342
MERCADO PARIS,MERCADO,TIJUANA,BAJA CALIFORNIA,7343
MERCADO SAN BENITO Y/O COMERCIAL AGUDAN DEL NORTE  S.A DE C.V,SIN GIRO ESPECIFICO,SANTIAGO,NUEVO LEON,7344
MERCADO SAN SEBASTIAN,ABARROTES,TIJUANA,BAJA CALIFORNIA,7345
MERCADO SAUCEDO,ABARROTES,TIJUANA,BAJA CALIFORNIA,7346
MERCADO SORIANA  S. A. DE C. V. Y/O TIENDAS SORIANA  S. A. DE C. V.,TIENDA DE AUTOSERVICIO,ECATEPEC DE MORELOS,MEXICO,7347
MERCADO SORIANA Y/O TIENDAS SORIANA  S. A. DE C. V.,TIENDA DE AUTOSERVICIO,ECATEPEC DE MORELOS,MEXICO,7348
MERCADO SORIANA Y/O TIENDAS SORIANA  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,IZTACALCO,DISTRITO FEDERAL,7349
MERCADO SORIANA Y/O TIENDAS SORIANA  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,TECOMAN,COLIMA,7350
MERCADO SUPER CUERNAVACA,ABARROTES,MEXICALI,BAJA CALIFORNIA,7351
MERCADO V Y M,MERCADO,TIJUANA,BAJA CALIFORNIA,7352
MERCADO VISTA MAR,ABARROTES,ROSARITO,BAJA CALIFORNIA,7353
MERCADO VIVA MEXICALI,ABARROTES,MEXICALI,BAJA CALIFORNIA,7354
